analyte_code,analyte_translation,analyte_desc,atomic_num,weight,preferred_unit,api_code,category,in_phase1_website,in_phase2_website,oxide_conv,website_analyte,category_two,website_order,website_order_pos2
Tridymite,Tridymite,Tridymite,NULL,NULL,wtpct,tridymite,mineralogy_composition,FALSE,FALSE,NULL,Tridymite (wt%),NULL,NULL,NULL
U,Uranium,Uranium,92,238.029,ppm,u,element,TRUE,TRUE,NULL,U (ppm),NULL,216,NULL
U-auth,U from authigenic fraction,Authigenic uranium after light leach on shale,NULL,NULL,ppm,u_auth,authigenic_proxy,FALSE,FALSE,NULL,U-auth (ppm),NULL,NULL,NULL
U-carb,U from the carbonate fraction,"Uranium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,u_carb,carbonate_proxy,FALSE,TRUE,NULL,U-carb (ppm),NULL,93,NULL
U234_U238,234U/238U,ratio of uranium isotopes U234 to U238,NULL,NULL,none,u234_u238,metal_isotope,FALSE,FALSE,NULL,U234/U238,NULL,NULL,NULL
U238_Pb204,238U/204Pb,ratio of uranium isotope U238 to lead isotope Pb204,NULL,NULL,none,u238_pb204,metal_isotope,FALSE,FALSE,NULL,U238/Pb204,NULL,NULL,NULL
Uub,Ununbium,Ununbium,112,277,ppm,uub,element,FALSE,FALSE,NULL,Uub (ppm),NULL,NULL,NULL
Uug,Ununquadium,Ununquadium,114,NULL,N/A,uug,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Uuh,Ununhexium,Ununhexium,116,NULL,N/A,uuh,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Uuo,Ununoctium,Ununoctium,118,NULL,N/A,uuo,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Uup,Ununpentium,Ununpentium,115,NULL,ppm,uup,element,FALSE,FALSE,NULL,Uup (ppm),NULL,NULL,NULL
Uus,Ununseptium,Ununseptium,117,NULL,N/A,uus,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
Uut,Ununtrium,Ununtrium,113,NULL,N/A,uut,element,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL
V,Vanadium,Vanadium,23,50.942,ppm,v,element,TRUE,TRUE,NULL,V (ppm),NULL,217,NULL
V-auth,Authigenic vanadium,"Authigenic vanadium, from partial digest",NULL,NULL,ppm,v_auth,element,FALSE,TRUE,NULL,V-auth (ppm),NULL,218,NULL
V-carb,V from the carbonate fraction,"Vanadium extracted from the carbonate fraction, after acidification in a weak acid",NULL,NULL,ppm,v_carb,carbonate_proxy,FALSE,TRUE,NULL,V-carb (ppm),NULL,94,NULL
V2O5,Vanadium pentoxide,Vanadium pentoxide,NULL,181.88,ppm,v,element,TRUE,TRUE,0.560166,V (ppm),NULL,219,NULL
VR,Vitrinite reflectance,Vitrinite reflectance,NULL,NULL,pct,v_reflect,carbon,FALSE,FALSE,NULL,VR (%),NULL,NULL,NULL
